City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,koson,39.0375,65.585,15.2,44,24,1.77,UZ,1730518257
293,rasra,25.85,83.85,28.12,34,0,0.4,IN,1730518258
294,alo,6.5486,4.2686,24.58,91,46,1.36,NG,1730518260
295,cole harbour,44.6724,-63.4751,9.96,84,61,4.47,CA,1730518261
296,zuunmod,47.7069,106.9528,-5.43,44,100,0.66,MN,1730518262
297,inari,68.906,27.0288,-5.9,81,71,1.32,FI,1730518263
298,melfort,52.8667,-104.6177,0.07,86,90,2.57,CA,1730518264
299,maceio,-9.6658,-35.7353,23.69,100,75,2.57,BR,1730518204
300,pisco,-13.7,-76.2167,18.03,88,0,5.14,PE,1730518267
301,nuuk,64.1835,-51.7216,2.34,64,100,9.39,GL,1730518268
302,rey bouba,8.6724,14.1786,20.49,47,32,0.74,CM,1730518269
303,la'ie,21.6477,-157.9253,27.66,75,11,2.24,US,1730518270
304,san luis de la loma,17.2706,-100.8939,26.8,84,83,1.02,MX,1730518271
305,soio,-6.1349,12.3689,24.63,88,73,2.01,AO,1730518276
306,amga,60.8953,131.9608,-14.21,86,98,1.24,RU,1730518278
307,dois vizinhos,-25.7336,-53.0572,19.35,82,100,0.59,BR,1730518278
308,hasaki,35.7333,140.8333,19.84,97,100,2.16,JP,1730518280
309,idri,27.5,13.2667,17.24,54,29,3.52,LY,1730518282
310,queenstown,-31.8976,26.8753,18.29,63,96,0.94,ZA,1730518283
311,cold lake,54.4502,-110.2017,-1.03,93,100,2.06,CA,1730518142
312,norilsk,69.3535,88.2027,-10.49,92,94,4.01,RU,1730518286
313,dahanu,19.9667,72.7333,29.01,46,37,2.6,IN,1730518288
314,papao,-17.75,-149.55,26.82,66,22,1.68,PF,1730518290
315,road town,18.4167,-64.6167,26.84,73,98,3.14,VG,1730518291
316,puerto santa,-8.9906,-78.6456,17.19,89,61,3.4,PE,1730518293
317,mokhsogollokh,61.4681,128.9203,-14.14,83,100,1.13,RU,1730518295
318,remire-montjoly,4.9167,-52.2667,26.02,89,20,1.03,GF,1730518296
319,aasiaat,68.7098,-52.8699,-6.51,85,100,2.02,GL,1730518297
320,badger,64.8,-147.5333,-5.05,80,75,2.06,US,1730518298
321,cabo san lucas,22.8909,-109.9124,23.75,73,0,6.69,MX,1730518300
322,hithadhoo,-0.6,73.0833,27.75,60,23,1.82,MV,1730518301
323,driefontein,-27.0177,30.4498,17.2,57,6,3.15,ZA,1730518302
324,alofi,-19.0595,-169.9187,26.94,78,75,5.14,NU,1730518303
325,ilhabela,-23.7781,-45.3581,21.47,94,99,3.14,BR,1730518304
326,bonthe,7.5264,-12.505,25.54,87,50,1.42,SL,1730518306
327,warah,27.4481,67.7978,31.4,18,0,2.51,PK,1730518308
328,salalah,17.0151,54.0924,24.05,53,0,1.54,OM,1730518310
329,xai-xai,-25.0519,33.6442,20.96,79,0,3.84,MZ,1730518311
330,port blair,11.6667,92.75,30.02,74,20,2.06,IN,1730518314
331,mezhdurechenskiy,59.6,65.9333,-1.61,90,31,3.16,RU,1730518315
332,kidal,18.4411,1.4078,23.74,19,91,5.28,ML,1730518317
333,rikaze,29.25,88.8833,10.29,30,0,0.83,CN,1730518318
334,ponnani,10.767,75.9252,27.25,78,54,2.13,IN,1730518319
335,miranda,3.2499,-76.2281,19.27,95,100,0.66,CO,1730518320
336,awjilah,29.1081,21.2869,15.43,70,0,4.1,LY,1730518321
337,pathein,16.7833,94.7333,29.73,72,5,3.16,MM,1730518323
338,atkarsk,51.8718,45.0078,9.14,83,100,9.92,RU,1730518324
339,anadyr,64.75,177.4833,-3.72,73,40,2.0,RU,1730518325
340,zemio,5.0314,25.1361,20.43,96,100,0.94,CF,1730518326
341,sao vicente,-23.9631,-46.3919,21.66,26,97,0.68,BR,1730518327
342,coahuayana de hidalgo,18.7,-103.6583,25.17,92,28,1.36,MX,1730518328
343,auki,-8.7676,160.7034,28.16,78,99,0.57,SB,1730518330
344,port douglas,-16.4833,145.4667,26.44,64,75,2.83,AU,1730518331
345,spring hill,28.4769,-82.5255,23.36,83,75,1.54,US,1730518332
346,aykhal,66.0,111.5,-19.7,100,98,1.77,RU,1730518333
347,vilyuysk,63.7553,121.6247,-12.43,91,95,1.87,RU,1730518334
348,isangel,-19.55,169.2667,29.06,74,75,2.57,VU,1730518335
349,al jawf,29.5,38.75,18.01,32,0,2.95,SA,1730518337
350,tanout,14.9709,8.8879,21.9,23,78,4.68,NE,1730518338
351,inhambane,-23.865,35.3833,22.78,73,14,2.43,MZ,1730518339
352,togur,58.3631,82.8265,-3.6,78,25,5.36,RU,1730518340
353,san patricio,28.017,-97.5169,25.97,79,28,4.62,US,1730518341
354,mansa,29.9833,75.3833,28.82,15,0,1.39,IN,1730518344
355,midvagur,62.0511,-7.1939,5.46,81,100,9.77,FO,1730518345
356,santiago de cao,-7.9589,-79.2392,17.07,88,40,3.09,PE,1730518346
357,utrik,11.2278,169.8474,28.98,76,87,3.86,MH,1730518347
358,svetlyy,54.675,20.1347,6.45,43,26,9.63,RU,1730518348
359,volodarskiy,46.4013,48.5409,12.77,72,100,10.84,RU,1730518350
360,itoman,26.1247,127.6694,28.43,78,40,7.72,JP,1730518351
